Name,AMAZON.COM,AMAZON.COM - TARGET PRICE MEAN,AMAZON.COM - TURNOVER BY VOLUME,AMAZON.COM - TARGET PRICE MEAN2,AMAZON.COM - TURNOVER BY VOLUME3,bid ask,AMAZON.COM - NO. TARGET PRICE
10/10/16,841.71,-0.032887412,-0.038045714,870.333,1827.1,-0.000154614,39
11/10/16,831,-0.045193047,-0.050285714,870.333,3588.2,-0.000228569,39
12/10/16,834.0901,-0.041642567,-0.046754171,870.333,2380.4,-0.000479439,39
13/10/16,829.28,-0.047169302,-0.052251429,870.333,3091.4,-0.00044605,39
14/10/16,822.96,-0.05443089,-0.059474286,870.333,2999.8,-0.000279486,39
17/10/16,812.95,-0.065932235,-0.070914286,870.333,3361.5,-2.46027E-05,39
18/10/16,817.6499,-0.060532118,-0.065542971,870.333,2512.5,-0.000257081,39
19/10/16,817.6899,-0.060486159,-0.065497257,870.333,2090.7,-0.000318091,39
20/10/16,810.3201,-0.114989433,-0.133347487,915.605,3152,-0.000259037,43
21/10/16,818.99,-0.105520394,-0.124074866,915.605,2793,-6.10538E-05,43
24/10/16,838.0901,-0.08465976,-0.103646952,915.605,4060.9,-0.000883677,43
25/10/16,835.1799,-0.087838205,-0.106759465,915.605,3248.4,-0.000263366,43
26/10/16,822.5901,-0.101588458,-0.120224492,915.605,3998.1,-4.87514E-05,43
27/10/16,818.3601,-0.106208354,-0.124748556,915.605,7406.4,-0.000623198,43
28/10/16,776.3201,-0.15212335,-0.169711123,915.605,10841.1,-5.1656E-05,43
31/10/16,789.8201,-0.137379001,-0.15527262,915.605,5413.3,-0.000139149,43
1/11/16,785.4099,-0.142195707,-0.159989412,915.605,5305.4,-0.000165419,43
2/11/16,765.5601,-0.163875143,-0.181219144,915.605,5026.5,-6.54466E-05,43
3/11/16,767.03,-0.162269756,-0.179647059,915.605,3872.5,-0.00037818,43
4/11/16,755.05,-0.175354001,-0.192459893,915.605,5122.1,-0.000278072,43
7/11/16,784.9299,-0.14271995,-0.160502781,915.605,5984.4,-0.000178615,43
8/11/16,787.75,-0.13963991,-0.157486631,915.605,3412.6,-0.0005079,43
9/11/16,771.8799,-0.156972821,-0.17446,915.605,8562.9,-0.0001424,43
10/11/16,742.3799,-0.189191955,-0.206010802,915.605,12747,-0.000134858,43
11/11/16,739.01,-0.192872472,-0.209614973,915.605,6622.8,-0.000636391,43
14/11/16,719.0701,-0.214650313,-0.23094107,915.605,7321.3,-0.000319898,43
15/11/16,743.24,-0.188252576,-0.205090909,915.605,6755.8,-2.69063E-05,43
16/11/16,746.49,-0.184703011,-0.201614973,915.605,3648.8,-0.000777718,43
17/11/16,756.3999,-0.177918233,-0.177826196,920.103,3690.1,-1.32207E-05,39
18/11/16,760.1599,-0.173831734,-0.173739239,920.103,4373.4,-9.18288E-05,39
21/11/16,780,-0.152268822,-0.152173913,920.103,4614.6,-8.98718E-05,39
22/11/16,785.3301,-0.146475884,-0.146380326,920.103,5311.3,-0.000496479,39
23/11/16,780.1201,-0.152138293,-0.15204337,920.103,3540.3,-0.0004101,39
24/11/16,780.1201,-0.152138293,-0.15204337,920.103,0,0,39
25/11/16,780.3701,-0.151866585,-0.15177163,920.103,1837.1,-1.28189E-05,39
28/11/16,766.77,-0.166647647,-0.166554348,920.103,4438.8,-0.000208521,39
29/11/16,762.52,-0.171266695,-0.171173913,920.103,3272.3,-0.00035421,39
30/11/16,750.5701,-0.184254263,-0.184162935,920.103,4625.9,-0.000239684,39
1/12/16,743.6499,-0.191775377,-0.191684891,920.103,4666,-0.000363201,39
2/12/16,740.3401,-0.195372583,-0.1952825,920.103,3561.3,-5.41672E-05,39
5/12/16,759.3601,-0.174700985,-0.174608587,920.103,4314.7,-0.000552966,39
6/12/16,764.72,-0.168875658,-0.168782609,920.103,3794.7,-0.000300696,39
7/12/16,770.4199,-0.162680809,-0.162587065,920.103,3684.9,-0.000259536,39
8/12/16,767.3301,-0.166038911,-0.165945543,920.103,3189.6,-0.000130476,39
9/12/16,768.6599,-0.164593638,-0.164500109,920.103,2470.9,-2.602E-05,39
12/12/16,760.1201,-0.17387499,-0.1737825,920.103,2963.9,-0.000105411,39
13/12/16,774.3401,-0.158420199,-0.158325978,920.103,5285.3,-9.01424E-05,39
14/12/16,768.8201,-0.164419527,-0.164325978,920.103,5454.8,-0.000325178,39
15/12/16,761,-0.180841376,-0.188266667,929.002,3801.9,-0.000289489,42
16/12/16,757.77,-0.184318225,-0.191712,929.002,4848.2,-0.000237841,42
19/12/16,766,-0.175459256,-0.182933333,929.002,3113.2,-0.000104569,42
20/12/16,771.22,-0.169840323,-0.177365333,929.002,2703.6,-1.29666E-05,42
21/12/16,770.6001,-0.170507598,-0.17802656,929.002,2044.6,-0.000168856,42
22/12/16,766.3401,-0.175093164,-0.18257056,929.002,2543.6,-0.000365502,42
23/12/16,760.5901,-0.181282602,-0.188703893,929.002,1981.6,-0.000341957,42
26/12/16,760.5901,-0.181282602,-0.188703893,929.002,0,0,42
27/12/16,771.3999,-0.169646675,-0.17717344,929.002,2638.7,-0.000466814,42
28/12/16,772.1299,-0.168860885,-0.176394773,929.002,3301,-0.000297955,42
29/12/16,765.1499,-0.176374324,-0.183840107,929.002,3158.3,-0.000640799,42
30/12/16,749.8701,-0.192821867,-0.20013856,929.002,4139.4,-0.00050652,42
2/1/17,749.8701,-0.192821867,-0.20013856,929.002,0,0,42
3/1/17,753.6699,-0.188731671,-0.19608544,929.002,3521.1,-2.65375E-05,42
4/1/17,757.1799,-0.184953423,-0.19234144,929.002,2510.5,-0.000184796,42
5/1/17,780.45,-0.15990493,-0.16752,929.002,5830.1,-0.000512653,42
6/1/17,795.99,-0.143177302,-0.150944,929.002,5986.2,-0.000389467,42
9/1/17,796.9199,-0.142176335,-0.149952107,929.002,3446.1,-8.75949E-05,42
10/1/17,795.8999,-0.143274288,-0.151040107,929.002,2558.4,-0.000364249,42
11/1/17,799.02,-0.139915738,-0.147712,929.002,2992.8,-0.000112774,42
12/1/17,813.6399,-0.124178527,-0.13211744,929.002,4873.9,-0.000344192,42
13/1/17,817.1399,-0.120411043,-0.128384107,929.002,3791.9,-0.00013474,42
16/1/17,817.1399,-0.120411043,-0.128384107,929.002,0,0,42
17/1/17,809.72,-0.128398001,-0.136298667,929.002,3670.5,-0.000234704,42
18/1/17,807.48,-0.130809191,-0.138688,929.002,2354.2,-0.000458296,42
19/1/17,809.04,-0.128683526,-0.143873016,928.526,2540.8,-0.000136106,42
20/1/17,808.3301,-0.129448071,-0.144624233,928.526,3376.2,-8.66101E-05,42
23/1/17,817.8799,-0.119163168,-0.134518624,928.526,2797.5,-3.66793E-05,42
24/1/17,822.4399,-0.114252159,-0.129693228,928.526,2971.7,-0.000243119,42
25/1/17,836.52,-0.099088232,-0.114793651,928.526,4023.1,-0.000239091,42
26/1/17,839.1499,-0.096255894,-0.112010688,928.526,3586.3,-0.000309702,42
27/1/17,835.77,-0.099895964,-0.115587302,928.526,2998.7,-3.58963E-05,42
30/1/17,830.3799,-0.105700971,-0.121291111,928.526,3747.3,-0.00043385,42
31/1/17,823.48,-0.113131996,-0.128592593,928.526,3137.2,-7.28828E-05,42
1/2/17,832.3501,-0.103579114,-0.119206243,928.526,3850.2,-2.40312E-05,42
2/2/17,839.95,-0.095394205,-0.111164021,928.526,7350.5,-0.000238166,42
3/2/17,810.2,-0.127434234,-0.142645503,928.526,10868.8,-1.23446E-05,42
6/2/17,807.6399,-0.1301914,-0.145354603,928.526,3897.3,-0.000421296,42
7/2/17,812.5,-0.12495719,-0.14021164,928.526,3466.1,-7.39747E-05,42
8/2/17,819.71,-0.117192195,-0.132582011,928.526,2858,-0.000280666,42
9/2/17,821.3601,-0.115415077,-0.130835873,928.526,2484.9,-1.21764E-05,42
10/2/17,827.46,-0.108845633,-0.124380952,928.526,2429.6,-0.000459321,42
13/2/17,836.53,-0.099077463,-0.114783069,928.526,4172.6,-0.000119647,42
14/2/17,836.3899,-0.099228347,-0.114931323,928.526,2792.4,-0.000203176,42
15/2/17,842.7,-0.092432522,-0.108253968,928.526,2968.9,-5.93331E-05,42
16/2/17,844.1399,-0.09127619,-0.087416324,928.929,2714.7,-0.000118359,42
17/2/17,845.0701,-0.090274822,-0.086410703,928.929,3112.3,-2.37856E-05,42
20/2/17,845.0701,-0.090274822,-0.086410703,928.929,0,0,42
21/2/17,856.4399,-0.078035135,-0.074119027,928.929,3507.7,-0.000666098,42
22/2/17,855.6101,-0.078928422,-0.075016108,928.929,2617,-2.33757E-05,42
23/2/17,852.1899,-0.082610296,-0.078713622,928.929,3462,-0.000634173,42
24/2/17,845.24,-0.090091923,-0.086227027,928.929,3688,-2.36625E-05,42
27/2/17,848.6399,-0.086431902,-0.082551459,928.929,2713.6,-0.000153092,42
28/2/17,845.04,-0.090307225,-0.086443243,928.929,2793.7,-0.000201096,42
1/3/17,853.0801,-0.081651988,-0.077751243,928.929,2760.1,-0.000609928,42
2/3/17,848.9099,-0.086141244,-0.082259568,928.929,2132.1,-5.86669E-05,42
3/3/17,849.8799,-0.085097031,-0.081210919,928.929,1951.6,-0.000329328,42
6/3/17,846.6101,-0.088616999,-0.084745838,928.929,2610.4,-0.000165511,42
7/3/17,846.02,-0.089252246,-0.085383784,928.929,2247.6,-0.000130154,42
8/3/17,850.5,-0.084429488,-0.080540541,928.929,2288.3,-0.000164491,42
9/3/17,853,-0.081738217,-0.077837838,928.929,2048.2,-0.000105636,42
10/3/17,852.46,-0.082319531,-0.078421622,928.929,2436.4,-4.70569E-05,42
13/3/17,854.5901,-0.080026461,-0.076118811,928.929,1909.7,-9.37379E-05,42
14/3/17,852.53,-0.082244176,-0.078345946,928.929,2130.6,-0.000516254,42
15/3/17,852.97,-0.081770512,-0.07787027,928.929,2562.2,-0.000152313,42
16/3/17,853.4199,-0.093673278,-0.079870728,941.625,1842.3,-2.3437E-05,40
17/3/17,852.3101,-0.094851878,-0.081067278,941.625,3384.4,-0.000305053,40
20/3/17,856.97,-0.089903093,-0.076043127,941.625,2282.7,-9.34765E-05,40
21/3/17,843.2,-0.104526749,-0.090889488,941.625,4382.9,-0.000260976,40
22/3/17,848.0601,-0.099365352,-0.085649488,941.625,2658.7,-2.37014E-05,40
23/3/17,847.3799,-0.100087721,-0.086382857,941.625,1953,-0.000224457,40
24/3/17,845.6101,-0.101967237,-0.088290997,941.625,2138.3,-0.000401845,40
27/3/17,846.8201,-0.100682225,-0.086986415,941.625,2755.8,-2.36178E-05,40
28/3/17,856,-0.090933227,-0.077088949,941.625,3041.6,-1.16822E-05,40
29/3/17,874.3201,-0.071477393,-0.057336819,941.625,4485.8,-0.000388649,40
30/3/17,876.3401,-0.069332165,-0.055158922,941.625,2762.7,-0.000171308,40
31/3/17,886.54,-0.058499934,-0.044161725,941.625,3957.6,-0.000609222,40
3/4/17,891.51,-0.053221824,-0.038803235,941.625,3422.3,-0.000347841,40
4/4/17,906.8301,-0.036951971,-0.022285606,941.625,4984.7,-0.000154269,40
5/4/17,909.28,-0.034350192,-0.019644205,941.625,7508.4,-0.000341043,40
6/4/17,898.28,-0.046032125,-0.031504043,941.625,6344.1,-0.000623796,40
7/4/17,894.8799,-0.049643011,-0.035169919,941.625,3710.9,-4.44772E-05,40
10/4/17,907.04,-0.036729059,-0.022059299,941.625,3184.3,-0.000143213,40
11/4/17,902.3601,-0.041699084,-0.027105013,941.625,3012.7,-0.000443191,40
12/4/17,896.23,-0.048209213,-0.033714286,941.625,2456.1,-0.000256651,40
13/4/17,884.6699,-0.060485968,-0.046178005,941.625,3174.6,-0.000112823,40
14/4/17,884.6699,-0.060485968,-0.046178005,941.625,0,0,40
17/4/17,901.99,-0.042092128,-0.027504043,941.625,2854.7,-0.000155096,40
18/4/17,903.78,-0.040191159,-0.025574124,941.625,2999.2,-0.00028777,40
19/4/17,899.2,-0.045055091,-0.030512129,941.625,2870.2,-0.000189093,40
20/4/17,902.0601,-0.077440631,-0.060354063,977.78,2814.4,-0.000499102,41
21/4/17,898.53,-0.081050952,-0.06403125,977.78,2420.5,-0.000167077,41
24/4/17,907.4099,-0.071969257,-0.054781354,977.78,3122.9,-0.000198448,41
25/4/17,907.6201,-0.07175428,-0.054562396,977.78,3380.6,-0.000220403,41
26/4/17,909.29,-0.070046432,-0.052822917,977.78,2608.9,-1.09978E-05,41
27/4/17,918.3799,-0.060749964,-0.043354271,977.78,5305.5,-0.00020668,41
28/4/17,924.99,-0.05398965,-0.03646875,977.78,7364.7,-1.08108E-05,41
1/5/17,948.23,-0.030221522,-0.012260417,977.78,5466.5,-0.000348122,41
2/5/17,946.9399,-0.03154094,-0.013604271,977.78,3848.8,-0.000390775,41
3/5/17,941.03,-0.037585142,-0.019760417,977.78,3582.7,-6.37647E-05,41
4/5/17,937.53,-0.041164679,-0.02340625,977.78,2418.4,-0.000117223,41
5/5/17,934.1499,-0.044621592,-0.026927188,977.78,2866.4,-0.00022483,41
8/5/17,949.04,-0.029393115,-0.011416667,977.78,3415.7,-0.000189596,41
9/5/17,952.8201,-0.025527112,-0.007479062,977.78,3262.1,-0.000503927,41
10/5/17,948.95,-0.02948516,-0.011510417,977.78,2096.5,-0.000231889,41
11/5/17,947.6201,-0.030845282,-0.012895729,977.78,2194.1,-0.000485427,41
12/5/17,961.3501,-0.016803269,0.001406354,977.78,3625.9,-0.000332657,41
15/5/17,957.97,-0.020260181,-0.002114583,977.78,4270.6,-0.000647233,41
16/5/17,966.0701,-0.011976007,0.006323021,977.78,3126.1,-0.000155165,41
17/5/17,944.76,-0.033770378,-0.015875,977.78,5145.6,-0.000518848,41
18/5/17,958.49,-0.125003081,-0.128645455,1095.421,3939.3,-0.000177487,38
19/5/17,959.8401,-0.123770587,-0.127418091,1095.421,3972.1,-0.00017701,38
22/5/17,970.6699,-0.11388416,-0.117572818,1095.421,2642.2,-0.000195945,38
23/5/17,971.54,-0.113089853,-0.116781818,1095.421,2415.6,-3.08798E-05,38
24/5/17,980.3501,-0.105047192,-0.108772636,1095.421,2463.1,-0.000285694,38
25/5/17,993.3799,-0.093152404,-0.096927364,1095.421,4822,-0.000463267,38
26/5/17,995.78,-0.090961375,-0.094745455,1095.421,3469.2,-0.000391995,38
29/5/17,995.78,-0.090961375,-0.094745455,1095.421,0,0,38
30/5/17,996.7,-0.090121515,-0.093909091,1095.421,3263.1,-0.00039132,38
