Date,amazon,facebook,apple,netflix,google,s_p
1/4/13,261.609985,25.530001,61.272858,26.061428,400.996002,156.050003
2/4/13,263.320007,25.42,61.398571,25.241428,406.926941,156.820007
3/4/13,259.029999,26.25,61.712856,24.248571,403.50351,155.229996
4/4/13,259.079987,27.07,61.102856,23.812857,397.932922,155.860001
5/4/13,255.479996,27.389999,60.457142,23.522858,391.916931,155.160004
8/4/13,258.950012,26.85,60.887142,23.294285,387.812805,156.210007
9/4/13,261.140015,26.59,60.997143,24.194286,389.214203,156.75
10/4/13,264.769989,27.57,62.241428,23.724285,395.485474,158.669998
11/4/13,269.850006,28.02,62.047142,24.715714,395.590576,159.190002
12/4/13,272.869995,27.4,61.400002,24.742857,395.42041,158.800003
15/4/13,267.720001,26.52,59.978573,25.214285,391.356354,155.119995
16/4/13,272.339996,26.92,60.89143,25.121429,397.082092,157.410004
17/4/13,267.399994,26.629999,57.542858,24.194286,391.671661,155.110001
18/4/13,259.420013,25.690001,56.007141,23.402857,383.338348,154.139999
19/4/13,260.320007,25.73,55.790001,23.338572,400.335327,155.479996
22/4/13,263.549988,25.969999,56.952858,24.91,400.455444,156.169998
23/4/13,268.899994,25.98,58.01857,30.998571,404.35434,157.779999
24/4/13,268.779999,26.110001,57.922855,30.959999,407.132141,157.880005
25/4/13,274.700012,26.139999,58.34,30.535715,404.954956,158.520004
26/4/13,254.809998,26.85,59.599998,30.792856,401.111115,158.240005
29/4/13,249.740005,26.98,61.445713,30.715714,409.939941,159.300003
30/4/13,253.809998,27.77,63.254284,30.867144,412.697693,159.679993
1/5/13,248.229996,27.43,62.755714,30.415714,410.625641,158.279999
2/5/13,252.550003,28.969999,63.645714,30.641428,415.220215,159.75
3/5/13,258.049988,28.309999,64.28286,30.492857,423.283295,161.369995
6/5/13,255.720001,27.57,65.815712,30.098572,431.206207,161.779999
7/5/13,257.730011,26.889999,65.522858,29.464285,429.044037,162.600006
8/5/13,258.679993,27.120001,66.262856,29.801428,437.252258,163.339996
9/5/13,260.160004,27.040001,65.252853,30.915714,436.176178,162.880005
10/5/13,263.630005,26.68,64.709999,31.098572,440.555542,163.410004
13/5/13,264.51001,26.82,64.96286,32.76857,439.204193,163.539993
14/5/13,268.329987,27.07,63.408573,33.424286,443.993988,165.229996
15/5/13,266.559998,26.6,61.264286,34.771427,458.403412,166.119995
16/5/13,264.119995,26.129999,62.082859,33.861427,452.38739,165.339996
17/5/13,269.899994,26.25,61.894287,34.142857,455.045044,166.940002
20/5/13,267.630005,25.76,63.275715,34.221428,454.719727,166.929993
21/5/13,268.859985,25.66,62.808571,33.869999,453.938934,167.169998
22/5/13,262.959991,25.16,63.049999,32.651428,445.155151,165.929993
23/5/13,261.799988,25.059999,63.162857,32.311428,441.836823,165.449997
24/5/13,261.73999,24.309999,63.592857,32.677143,437.097107,165.309998
28/5/13,267.290009,24.1,63.062859,30.598572,441.07608,166.300003
29/5/13,265.529999,23.32,63.564285,30.762857,434.5896,165.220001
30/5/13,266.829987,24.549999,64.511429,31.808571,435.815826,165.830002
31/5/13,269.200012,24.35,64.247147,32.32143,436.046051,163.449997
3/6/13,266.880005,23.85,64.388573,31.709999,434.249237,164.350006
4/6/13,265.700012,23.52,64.187141,32.187141,429.97998,163.559998
5/6/13,267.170013,22.9,63.587143,31.922857,430.280273,161.270004
6/6/13,267.829987,22.969999,62.637142,31.105715,432.752747,162.729996
7/6/13,276.869995,23.290001,63.115715,31.459999,440.305298,164.800003
10/6/13,281.070007,24.33,62.69857,31.561428,445.555542,164.800003
11/6/13,274.779999,24.030001,62.514286,30.637142,440.345337,163.100006
12/6/13,271.670013,23.77,61.741428,29.662857,436.426422,161.75
13/6/13,275.790009,23.73,62.279999,30.77,438.938934,164.210007
14/6/13,273.98999,23.629999,61.435715,30.57,437.957947,163.179993
17/6/13,278.059998,24.02,61.714287,32.747143,443.568573,164.440002
18/6/13,281.76001,24.209999,61.681427,32.689999,450.760773,165.740005
19/6/13,278.160004,24.309999,60.42857,33.187141,450.790802,163.449997
20/6/13,273.440002,23.9,59.548573,31.931429,442.812805,159.399994
21/6/13,273.359985,24.530001,59.07143,30.985714,440.905914,159.070007
24/6/13,270.609985,23.940001,57.505714,30.799999,435.330322,157.059998
25/6/13,272.089996,24.25,57.51857,30.414286,433.533539,158.570007
26/6/13,277.570007,24.16,56.867142,30.299999,437.262268,160.139999
27/6/13,277.549988,24.66,56.254284,30.709999,438.973969,161.080002
28/6/13,277.690002,24.879999,56.647144,30.155714,440.625641,160.419998
1/7/13,282.100006,24.809999,58.459999,32.040001,444.384399,161.360001
2/7/13,283.730011,24.41,59.784286,31.637142,441.596588,161.210007
3/7/13,284.029999,24.52,60.114285,31.558571,443.658661,161.279999
5/7/13,285.880005,24.370001,59.631428,32.157143,447.1922,163.020004
8/7/13,290.589996,24.709999,59.292858,33.299999,452.997986,163.949997
9/7/13,291.529999,25.48,60.335712,35.34,453.073059,165.130005
10/7/13,292.329987,25.799999,60.104286,34.831429,453.448456,165.190002
11/7/13,299.660004,25.809999,61.041428,34.881428,460.580566,167.440002
12/7/13,307.549988,25.91,60.93,36.751427,461.961975,167.509995
15/7/13,306.570007,26.280001,61.062859,36.854286,462.8078,168.149994
16/7/13,306.869995,26.32,61.457142,37.21143,460.265259,167.520004
17/7/13,308.690002,26.65,61.472858,38.274284,459.734741,167.949997
18/7/13,304.109985,26.18,61.68,38.058571,455.795807,168.869995
19/7/13,305.230011,25.879999,60.707142,37.797142,448.748749,169.169998
22/7/13,303.480011,26.049999,60.901428,37.422855,455.805817,169.5
23/7/13,301.059998,26.129999,59.855713,35.751427,452.352356,169.139999
24/7/13,298.940002,26.51,62.93,34.471428,451.901917,168.520004
25/7/13,303.399994,34.360001,62.642857,35.248573,444.294281,168.929993
26/7/13,312.01001,34.009998,62.998573,35.187141,443.118103,169.110001
29/7/13,306.100006,35.43,63.970001,34.994286,441.576569,168.589996
30/7/13,302.410004,37.630001,64.760002,34.822857,445.905914,168.589996
31/7/13,301.220001,36.799999,64.647141,34.925713,444.319305,168.710007
1/8/13,305.570007,37.490002,65.239998,35.58857,452.562561,170.660004
2/8/13,304.209991,38.049999,66.077141,35.168571,453.738739,170.949997
5/8/13,300.98999,39.189999,67.064285,36.262856,452.952942,170.699997
6/8/13,300.75,38.549999,66.464287,36.557144,448.733734,169.729996
7/8/13,296.910004,38.869999,66.425713,35.601429,445.770782,169.179993
8/8/13,295.73999,38.540001,65.858574,35.771427,446.776764,169.800003
9/8/13,297.26001,38.5,64.921425,36.107143,445.650665,169.309998
12/8/13,296.690002,38.220001,66.765717,36.657143,443.198212,169.110001
13/8/13,293.970001,37.02,69.938568,37.027142,441.066071,169.610001
14/8/13,291.339996,36.650002,71.214287,37.401428,435.340332,168.740005
15/8/13,286.470001,36.560001,71.129997,36.201427,430.260254,166.380005
16/8/13,284.820007,37.080002,71.761429,36.98143,428.883881,165.830002
19/8/13,285.570007,37.810001,72.534286,37.111427,433.25827,164.770004
20/8/13,287.089996,38.41,71.581429,39.041428,433.143158,165.580002
21/8/13,284.570007,38.32,71.765717,38.624287,435.100098,164.559998
22/8/13,289.730011,38.549999,71.851425,38.535713,437.292297,166.059998
23/8/13,290.01001,40.549999,71.574287,39.765713,435.540527,166.619995
26/8/13,286.209991,41.34,71.852859,40.388573,433.628632,166
27/8/13,280.929993,39.639999,69.798569,39.434284,425.500488,163.330002
28/8/13,281.579987,40.549999,70.128571,40.48,424.699707,163.910004
29/8/13,283.980011,41.279999,70.242859,41.121429,428.143158,164.169998
30/8/13,280.980011,41.290001,69.602859,40.558571,423.873871,163.649994
3/9/13,288.799988,41.869999,69.797142,41.285713,430.620605,164.389999
4/9/13,293.640015,41.779999,71.241432,41.775715,436.251251,165.75
5/9/13,294.100006,42.66,70.752853,42.158573,440.220215,165.960007
6/9/13,295.859985,43.950001,71.174286,41.648571,440.230225,166.039993
