CEO_TARGET,Date Announced,cik,surname,year_ann
james p. hunter,6/8/98,928155,hunter,1998
andrew j. hurd,7/1/13,1096738,hurd,2013
david b. hurwitz,6/4/01,862025,hurwitz,2001
william d. huse,21/11/03,1111312,huse,2003
keith a. hutton,14/12/09,868809,hutton,2009
victor insetta,18/6/07,766430,insetta,2007
john e. jackson,5/2/07,909413,jackson,2007
leonard s. jacob,23/6/05,929547,jacob,2005
joey a. jacobs,17/5/10,829608,jacobs,2010
roger l. jarvis,19/9/05,1089697,jarvis,2005
raymond a. jean,19/11/07,276889,jean,2007
robert h. jenkins,22/2/99,95395,jenkins,1999
william l. jenkins,22/9/06,839871,jenkins,2006
eugene jennings,1/6/09,1268904,jennings,2009
michael c. jennings,22/2/11,110430,jennings,2011
charles w. jepson,6/3/01,1051490,jepson,2001
charles w. jepson,28/7/05,1051490,jepson,2005
robert s. jepson,18/12/98,56955,jepson,1998
roy e. jewell,5/9/97,1018728,jewell,1997
bobby r. johnson,21/7/08,1090071,johnson,2008
gary johnson,6/11/06,1297633,johnson,2006
kevin c. johnson,8/11/02,779282,johnson,2002
michael w. johnson,27/12/05,879684,johnson,2005
peter johnson,26/1/99,811210,johnson,1999
richard s. johnson,29/6/01,1087728,johnson,2001
a. laurence jones,1/6/01,1017829,jones,2001
evan jones,19/2/02,1011582,jones,2002
james t. jongebloed,30/10/98,842815,jongebloed,1998
scott d. josey,15/4/10,1022345,josey,2010
nick menonna jr,13/1/99,931581,jr,1999
craig d. jung,23/12/02,911360,jung,2002
stephen i. kahn,16/8/00,1026114,kahn,2000
larry kalas,29/5/98,320678,kalas,1998
joseph m. kampf,13/12/05,1090709,kampf,2005
gordon r. kanofsky,21/12/12,912145,kanofsky,2012
nooruddin s. karsan,27/8/12,1114714,karsan,2012
richard a. kay,20/2/02,1101757,kay,2002
walter j. kearns,10/9/97,26994,kearns,1997
allan d. keel,30/4/13,813779,keel,2013
robert l. keiser,15/10/98,836442,keiser,1998
richard l. keister,17/7/07,1012393,keister,2007
joseph p. keithley,29/9/10,54991,keithley,2010
john a. kelley,7/8/06,731502,kelley,2006
john t. kernan,9/9/03,1097892,kernan,2003
william turnbull kerr,18/12/12,109758,kerr,2012
john t. kilcoyne,12/7/10,1028318,kilcoyne,2010
robert kill,22/12/14,890846,kill,2014
theo killion,19/2/14,109156,killion,2014
p. kevin kilroy,24/10/00,1039242,kilroy,2000
james marshall kilts,28/1/05,41499,kilts,2005
david c. king,17/1/02,914027,king,2002
howard l. kirby,13/12/99,943822,kirby,1999
charles d. kissner,5/9/06,812703,kissner,2006
thomas m. kitchen,29/5/13,878522,kitchen,2013
lawrence p. klamon,8/9/97,88190,klamon,1997
r. michael kleine,3/10/00,841939,kleine,2000
thomas g. klopack,1/6/04,1067588,klopack,2004
lester b. knight,9/10/98,1017799,knight,1998
carl w. knobloch,27/2/97,100712,knobloch,1997
martin m. koffel,13/7/14,102379,koffel,2014
chris l. koliopoulos,23/2/06,884498,koliopoulos,2006
chris l. koliopoulos,11/4/14,730716,koliopoulos,2014
barry p. korn,2/10/06,1164552,korn,2006
richard korpan,22/8/99,357261,korpan,1999
ketan d. kothari,25/1/05,1264388,kothari,2005
l. dennis kozlowski,17/3/97,833444,kozlowski,1997
steven w. krablin,6/10/10,879884,krablin,2010
larry s. kramer,14/11/04,1068969,kramer,2004
richard w. kramp,13/12/11,780127,kramp,2011
joseph k. krivickas,7/2/06,894572,krivickas,2006
ronald l. kuehn,15/3/99,92236,kuehn,1999
john kunze,22/8/05,1035656,kunze,2005
gerhard e. kurz,16/3/05,922341,kurz,2005
mark d. kvamme,2/9/98,1002518,kvamme,1998
craig e. labarge,4/4/11,57139,labarge,2011
william j. lacourciere,18/12/01,310450,lacourciere,2001
luis e. lamela,9/4/03,773136,lamela,2003
matthew g. landa,10/5/99,913270,landa,1999
kristine stotz langdon,13/7/99,1044864,langdon,1999
david h. langstaff,9/6/03,1095901,langstaff,2003
marshall o. larsen,21/9/11,42542,larsen,2011
paul a. larson,5/1/02,857914,larson,2002
mitch lasky,8/12/05,1135271,lasky,2005
william m. lasky,15/10/06,216275,lasky,2006
constance h. lau,3/12/14,354707,lau,2014
john c. lauchnor,20/1/99,1016395,lauchnor,1999
allen j. lauer,9/12/12,1044590,lauer,2012
john michael lawrie,12/9/05,1006835,lawrie,2005
kenneth l. lay,27/10/00,1080205,lay,2000
steven a. lebensfeld,10/2/02,1044010,lebensfeld,2002
dan r. lee,7/8/07,929299,lee,2007
yuchun lee,13/8/10,1138804,lee,2010
alan b. lefkof,13/11/06,1012482,lefkof,2006
alan b. lefkof,23/1/01,1012482,lefkof,2001
robert a. lefton,24/5/10,1129623,lefton,2010
paul g. lego,10/7/03,1101147,lego,2003
neil m. leibman,28/3/05,821113,leibman,2005
laurent lenoir,11/9/14,1547063,lenoir,2014
craig lentzsch,16/10/98,813040,lentzsch,1998
j. wayne leonard,31/7/00,65984,leonard,2000
michael lerner,24/4/00,898306,lerner,2000
lavi a. lev,22/6/08,893162,lev,2008
jerry w. levin,2/3/98,21627,levin,1998
howard r. levine,28/7/14,34408,levine,2014
howard r. levine,18/8/14,34408,levine,2014
lev j. leytes,8/6/00,1042162,leytes,2000
andrew e. lietz,17/4/00,729533,lietz,2000
george l. lindemann,23/6/11,203248,lindemann,2011
george l. lindemann,16/6/11,203248,lindemann,2011
randy d. lindholm,6/12/01,929900,lindholm,2001
larry r. linhart,21/5/99,924774,linhart,1999
william e. lipner,20/12/99,897940,lipner,1999
frank litvack,16/11/06,1108271,litvack,2006
kirk loevner,23/7/03,1106917,loevner,2003
alvin n. lubetkin,22/2/01,75043,lubetkin,2001
samuel e. lynch,19/11/12,1138400,lynch,2012
chris macaskill,13/9/00,1066010,macaskill,2000
rajeev madhavan,30/11/11,1065034,madhavan,2011
patrick j. mahaffy,18/11/07,1203866,mahaffy,2007
thomas d. malkoski,15/10/14,739608,malkoski,2014
william g. malloy,19/5/00,880174,malloy,2000
alfred e. mann,30/5/01,945801,mann,2001
robert d. marcus,13/2/14,1377013,marcus,2014
vincent james marino,27/9/10,1368457,marino,2010
ernest mario,21/6/99,4310,mario,1999
ernest mario,27/3/01,4310,mario,2001
miles l. marsh,17/7/00,53117,marsh,2000
ronald l. marsiglio,2/11/05,11390,marsiglio,2005
ronald l. marsiglio,10/5/05,851560,marsiglio,2005
charles n. martin,24/6/13,1045829,martin,2013
peter i. mason,27/5/98,1002521,mason,1998
thomas j. may,18/10/10,13372,may,2010
guy l. mayer,13/11/07,816949,mayer,2007
a. dale mayo,15/5/14,1510326,mayo,2014
brian p. mcandrews,18/5/07,1071806,mcandrews,2007
kip mcclanahan,13/12/04,1097297,mcclanahan,2004
w. craig mcclelland,24/11/98,100783,mcclelland,1998
aubrey k. mcclendon,30/6/00,878482,mcclendon,2000
james f. mcdonald,18/11/05,87777,mcdonald,2005
scott c. mcdonald,26/4/07,908605,mcdonald,2007
john j. mcdonnell,23/8/99,920231,mcdonnell,1999
william a. mcdonnell,7/8/06,893046,mcdonnell,2006
alton w. mcewen,9/2/99,925908,mcewen,1999
john l. mcgannon,27/12/07,1016831,mcgannon,2007
benjamin f. mcgraw ,26/10/98,907111,mcgraw,1998
brittany b. mckinney,13/4/05,6292,mckinney,2005
john e. mcnulty,22/9/08,1001916,mcnulty,2008
alvin e. mcquinn,20/11/00,935503,mcquinn,2000
michael mcshane,17/12/07,1097313,mcshane,2007
william l. meaney,21/10/99,1020569,meaney,1999
joseph a. menniti,27/8/01,835405,menniti,2001
d. scott mercer,10/1/11,1069353,mercer,2011
david c. mercer,8/3/04,854093,mercer,2004
paul d. meringolo,25/6/14,748270,meringolo,2014
james merselis,6/8/07,1127393,merselis,2007
robert p. van der merwe,22/3/07,75681,merwe,2007
jack l. messman,12/3/01,895462,messman,2001
c. dean metropoulos,23/6/00,1027881,metropoulos,2000
edward h. meyer,13/9/04,43952,meyer,2004
gary meyers,20/3/08,1027362,meyers,2008
john r. meyers,22/1/99,876948,meyers,1999
daniel j. miglio,5/1/98,790650,miglio,1998
john j. mikulsky,7/2/11,1118941,mikulsky,2011
c. douglas miller,25/3/99,778397,miller,1999
james h. miller,21/10/02,95676,miller,2002
kelly e. miller,29/5/03,1048740,miller,2003
l. dent miller,26/9/97,1003110,miller,1997
george p. mitchell,14/8/01,311995,mitchell,2001
james r. moffett,5/12/12,64279,moffett,2012
james r. moffett,28/7/97,831259,moffett,1997
gary a. monetti,15/5/01,1009675,monetti,2001
mark e. monroe,7/9/01,912264,monroe,2001
al montross,27/7/99,731619,montross,1999
leonard e. moodispaw,8/11/06,355199,moodispaw,2006
michael p. moore,13/3/13,1295503,moore,2013
patrick j. moore,23/1/11,94610,moore,2011
roger h. moore,24/9/01,1002119,moore,2001
arturo r. moreno,27/5/99,874534,moreno,1999
marti morfitt,9/10/06,814258,morfitt,2006
thomas i. morgan,10/1/06,49029,morgan,2006
robert m. morrill,1/12/99,885474,morrill,1999
ian morris,8/5/13,1298978,morris,2013
david r. mueller,18/10/99,835344,mueller,1999
edward a. mueller,22/4/10,1037949,mueller,2010
w. patrick mulloy,20/4/98,1016168,mulloy,1998
ray b. mundt,1/3/99,1027282,mundt,1999
p. scott munro,2/3/00,715842,munro,2000
james r. murphy,31/3/08,821616,murphy,2008
robert i. murrie,14/5/01,1000231,murrie,2001
c. david myers,24/8/05,790160,myers,2005
menahem nassi,27/1/97,1000369,nassi,1997
kenneth dale naumann,18/9/12,1080667,naumann,2012
leon navickas,5/10/05,1096658,navickas,2005
alan c. nelson,7/6/99,851729,nelson,1999
robert a. nero,29/6/00,714981,nero,2000
albert w. van ness,5/7/06,1000779,ness,2006
gary d. newsome,30/7/13,792985,newsome,2013
fred r. nichols,12/5/99,700997,nichols,1999
thomas m. nolette,22/4/03,1093576,nolette,2003
richard m. noling,23/2/09,1065246,noling,2009
jack noonan,28/7/09,869570,noonan,2009
r. bruce northcutt,29/1/13,1297067,northcutt,2013
kenneth r. norton,1/6/98,933589,norton,1998
s. howard norton,26/4/99,806850,norton,1999
lucio a. noto,1/12/98,67182,noto,1998
richard n. nottenburg,9/6/03,1114068,nottenburg,2003
william r. nuti,18/9/06,278352,nuti,2006
j. brian o'neill,12/6/98,943809,o'neill,1998
